,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Top_1,fz2,nub,zfh2,ths,tup,dve,CG42238,zfh2,side-V,CG42238,fz2,zfh2,vg,dve,zfh2,dve,drm,zfh2,fz2,zfh2,zfh2,DIP-alpha,Ance,luna,ds,dve,fz2,vg,nub,tinc,nub,Hs6st,pAbp,RpL19,CG6959
Top_2,grn,zfh2,fz,rst,hth,nub,nub,fz,opa,Lsd-2,hth,Sox15,nkd,nub,vvl,rn,Antp,ds,side-V,vvl,nkd,RpL41,ush,CG9932,fz,rn,ap,grn,nkd,kek1,rn,cv-c,eEF2,RpL41,CG32264
Top_3,ap,rn,Sox15,side-V,smal,rn,Lsd-2,SKIP,Antp,nub,cv-c,fz,nub,rn,fz,nub,robo2,Sox15,knrl,Sox15,Dll,RpL27,pnr,CG34417,Fas3,nub,salm,brk,zfh2,zfh2,RhoU,trh,Act5C,RpS23,Fhos
Top_4,mamo,vvl,DIP-alpha,bbg,beat-IIIc,Lsd-2,bi,Sox15,cv-c,Dad,ara,ds,Dll,Fili,ds,Lsd-2,Ance,hth,olf413,fend,caps,Cyp1,CG42238,kay,Sox15,Bx,ds,sd,Dll,rdo,dve,trol,eEF1alpha1,Hsp27,shot
Top_5,salm,nkd,hth,klu,ths,Bx,Dad,hth,mab-21,bi,knrl,hdc,Bx,vvl,pdm3,Bx,B-H1,fz,hth,sog,ems,Df31,ths,zip,Eip75B,ab,tsh,frm,mirr,hbs,nmo,Cht6,CNBP,RpS27A,tyn
Top_6,Ser,peg,ds,Sox102F,pnr,ab,rn,tsh,ara,rn,olf413,hth,rdo,drl,CG5151,vg,kay,bi,mab-21,Kank,trn,Hsp27,Ten-a,Msp300,ap,jing,arr,magu,rn,kirre,Samuel,CG6959,RpL10,RpL10Ab,ap
Top_7,pyr,ds,CG5758,toe,mab-21,arr,Myc,hdc,fz2,Sdb,Reck,Sema2b,sd,arr,kek1,CG42238,B-H2,Fur1,Antp,nkd,lbk,RpL39,toe,Ten-m,zfh2,CG42238,cv-2,hth,sog,pdm3,br,bru2,betaTub56D,RpLP1,raskol
Top_8,tsh,zormin,sog,kirre,Fili,vvl,dve,Antp,hth,dve,Kank,ec,rn,Lsd-2,corto,Myc,CG9932,SKIP,grn,scyl,brk,eEF1alpha1,ab,dar1,psq,CG43759,fng,tinc,ds,Dscam1,CG42238,Fili,ft,RpS28b,Mkp3
Top_9,ush,SKIP,hdc,Sb,ab,Fili,fj,robo2,CG15611,Myc,DAAM,SKIP,Ser,Toll-7,luna,Egfr,ct,salm,Ten-a,corto,elB,RpS29,Myc,cib,fng,nkd,Dr,sca,vg,rst,Bx,bi,Df31,RpL27A,Tl
Top_10,Dh31-R,elB,nkd,caup,ft,Myc,Bx,tio,caup,fj,drl,Bacc,klu,Bx,Sox15,trh,Cht10,hdc,drl,NetB,tkv,Hsp26,Dad,cv-c,Dr,Lsd-2,Sema2b,fz,lbk,pnt,Eip75B,mfas,mt:CoI,RpL37a,AnxB9
Top_11,Dr,hth,Dr,ara,mirr,peg,salm,Dr,Reck,salm,mab-21,jim,nmo,CG43759,Dr,sd,CG34417,sns,pxb,bnb,E5,RpLP1,tup,Act5C,br,vg,ara,CG4374,nyo,Cirl,CG43759,haf,Hrb27C,RpS20,rau
Top_12,tio,CG3726,SKIP,eyg,CG43658,CG43759,LpR2,dysf,drl,trh,eya,msi,esn,fz2,Fur1,CG43759,cv-c,msi,CG42747,Cirl,hid,RpS16,eyg,Fim,hth,olf413,tio,arr,salm,bi,spi,sn,Cht10,RpS12,CG32369
Top_13,bbg,Tollo,ec,kek1,cv-c,CG42238,sgg,ds,inaE,LpR2,pigs,Fas3,br,18w,elB,jing,dally,Kank,Cht10,elB,magu,betaTub56D,CG9932,ab,ec,trh,Ser,lbk,hh,jigr1,CrebA,apt,eEF1gamma,RpS18,Ae2
Top_14,arr,scyl,Fas3,Ten-a,disco-r,ex,trh,Tet,disco-r,ImpE2,Ubx,plum,CG42238,ana,mab-21,Ppn,Ten-m,inv,kni,fz,hth,RpS27A,rst,Pax,jim,sd,bbg,Dscam1,Tollo,Tet,peg,sick,RpS5a,DIP-alpha,myd
Top_15,ds,Oatp74D,sns,rdo,pyr,fz2,Sdb,plum,Ten-a,ltl,Sobp,sns,RhoU,Myc,Cirl,ab,odd,mirr,frm,CG5758,nyo,RpL37A,ap,fj,Sema2b,CG34417,salr,MESR3,Ppn,trn,esn,CG3777,RpS15,RpS19a,Shrm
Top_16,cv-2,CG9008,Cirl,mirr,Dad,drl,vg,bi,tsh,Msr-110,kni,stg,fz3,CG42238,nkd,fj,side-V,fend,eya,mab-21,IP3K2,Sumo,CG10936,cher,tkv,klar,smal,Dl,olf413,sca,CG10077,peb,RpS23,RpS27,CG9095
Top_17,pdm3,dpy,stg,pyr,fj,bs,ltl,esg,Dad,Bx,svp,Dr,Meltrin,peg,CG13300,Trim9,puc,CG5758,CG5966,CG42342,rols,RpL18A,Ser,alphaTub84B,tsh,CG34398,plum,Tollo,Dl,pyd,psq,AdamTS-A,RpS13,His4r,btsz
Top_18,tkv,Poxn,fend,hbs,fz3,Trim9,Mkp3,Fas3,Pde9,peg,caup,robo2,jigr1,bi,Pgant9,nab,shot,brat,Reck,kn,shf,RpL21,CG43759,apt,msi,hid,hdc,tna,ed,vvl,grh,Rbfox1,RpL7A,RpL39,ImpE1
Top_19,lbk,NetB,mt:CoI,Dl,RhoGEF64C,hid,Ser,CG46339,CG7720,vg,tsh,Bicra,rau,Trim9,scyl,Dll,pnr,Cirl,mtgo,inv,Ppa,HmgD,bbg,sn,Dsp1,Myc,Fur1,tkv,tou,CG5151,Dl,zfh2,RpS3A,RpL21,Samuel
Top_20,dysf,chrb,elB,CG4374,ush,caps,CG43759,mab-21,CG34347,Ppn,sbb,Tet,Dl,bs,CG42747,Toll-7,toe,plum,MESR3,trn,scyl,RpL14,dlp,spri,Tet,Trim9,caup,side-V,Bx,arr,ex,stumps,Bacc,Sumo,wb
