,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
Top_1,grn,DIP-alpha,DIP-alpha,ab,ara,zfh2,Ance,fz2,vg,hdc,hdc,br,sm,CG9932,CG9932,ImpE2,br,sm,fz2,Hr4,DIP-alpha,zfh2,zfh2,hdc,br,zfh2,br,br,betaTub56D,pAbp,puc,zfh2,opa,CG34417,trol,fz2,Sp1,CG42500
Top_2,fz2,pAbp,hdc,hdc,Fili,fz,ths,fru,magu,Oda,klu,sm,Hr4,fru,Ten-m,sm,Hr4,br,side-V,br,fz2,fz,fz,msi,Mur2B,fz,Mur2B,Hr4,CNBP,LanA,CG43658,fz,side-V,luna,Rbfox1,knrl,disco-r,Lcp2
Top_3,hdc,LanA,fz,mirr,hdc,hdc,klu,knrl,brk,CG3726,ths,Hr4,br,CG34417,luna,mtgo,Hsp70Bb,sgg,opa,mtgo,knrl,br,ds,fru,ara,hdc,Eip75B,Mur2B,Act5C,Cpr49Ah,CG34417,Sox15,Antp,cib,Hs6st,olf413,zormin,RpL3
Top_4,Ser,peg,RpL41,Myc,mirr,ds,pnr,kni,hdc,Mkp3,rst,zfh2,Mur2B,ab,Msp300,Hr4,Mur2B,bbg,mab-21,ImpE2,pigs,hth,hdc,Fas3,Eip75B,bi,Hr4,ImpE2,pAbp,dpy,pyd,hdc,hdc,Hr4,mfas,hth,tyn,Lcp1
Top_5,mamo,Act5C,bi,bbg,caup,Sox15,rst,olf413,fru,FER,Tollo,ImpE2,ImpE2,drm,fru,CG4374,Hsp70Ab,fz2,Antp,ImpE1,olf413,ds,nkd,tkv,Hr4,SKIP,Cht10,Blimp-1,14-3-3zeta,nw,sm,CG46339,mab-21,kay,CG3777,drl,pdm3,Cipc
Top_6,salm,RpL41,ds,ths,vn,hth,bbg,chinmo,grn,Hsp70Ab,ara,hth,pum,kay,kay,br,Hsp26,Hr4,cv-c,sm,hdc,hdc,Sox15,CG5151,nmo,CG46339,Syp,Cht10,eEF2,peg,Hr4,CG5151,fz2,cv-c,cv-c,ab,Dll,CG6770
Top_7,arr,eEF1alpha1,grn,fru,Myc,Kank,toe,mab-21,sd,Pdcd4,heph,CG5758,ImpE1,hdc,CG34417,Sb,Hsp27,Sb,hdc,sgg,fru,Sox15,Dr,grn,CG7720,Antp,Blimp-1,sm,eEF1alpha1,CG9689,kmr,SKIP,cv-c,Cpr49Ac,peb,kni,unc-4,Hml
Top_8,heph,Ppn,zfh2,Bx,ab,inv,CG42238,pigs,heph,CG34398,caup,Mur2B,pyd,Myc,fj,tyn,Hsp68,CG4374,ara,drl,hth,Eip75B,CG5151,Tet,fz2,heph,ImpE2,ImpE1,Df31,Hrb27C,sick,Antp,Ten-a,ab,Fili,CG9932,dac,CG9701
Top_9,ap,RpL10,Fas3,caup,inv,SKIP,Bx,cv-c,fz,msi,Dl,Mmp2,sgg,Ance,dar1,pum,Hsp23,tyn,Ten-a,fz2,grn,ec,chinmo,salm,Syp,Fas3,mtgo,Eip75B,alphaTub84B,rn,sgg,Fas3,inaE,zip,sick,grn,EcR,Gel
Top_10,Fas3,Cpr49Ah,fru,vn,Tollo,nkd,eyg,drl,Dl,CG9837,toe,fz,nmo,fj,chinmo,bbg,Eip75B,mtgo,drl,Mur2B,kni,CG5151,hth,Bacc,ImpE2,Dr,Hsc70-3,CG32447,RpL27A,Act5C,Mmp1,dpy,ara,nmo,bi,eya,osp,Pxn
Top_11,ush,CG9689,msi,ft,pnt,fru,Myc,Ten-m,arr,hwt,side-V,pum,Cirl,Cpr51A,Rbfox1,RhoGEF64C,zfh2,grn,inaE,nmo,osp,SKIP,dpy,pigs,Reck,Sox15,Dyrk2,Hsp70Bb,Sumo,Vha16-1,br,plum,bnb,Mmp2,CG13044,Reck,sca,Lcp4
Top_12,dysf,vvl,hth,CG6040,Kank,Tet,tup,hth,lbk,CG8468,bbg,ImpE1,Myo10A,Msp300,CG42342,ImpE1,fz,mamo,Reck,aop,chinmo,Tet,kek1,heph,Antp,Tet,pio,Sb,RpL10,Hsc70-3,CG42674,zld,Tis11,Oatp74D,trh,CG42747,pxb,RpS7
Top_13,Dr,tnc,inv,SNF4Agamma,Bx,CG5151,ush,SP1173,CG42238,fz,tinc,mamo,nkd,Mp,zip,ths,ImpE2,Mur2B,fru,CG43759,RpL41,heph,CG40006,tara,opa,dpy,nmo,Eip78C,Hrb27C,nub,kay,SP1173,heph,br,baz,Rbfox1,Antp,zfh1
Top_14,salr,nub,Dr,heph,svp,Fas3,heph,hdc,tinc,Tmc,kirre,nkd,Dyrk2,cv-c,EcR,kirre,nmo,pyd,CG15611,CG43658,Reck,Mur2B,fru,SP1173,mab-21,Oatp74D,CG7720,smal,eEF1gamma,bnb,Zasp52,Tet,drl,sn,sn,dar1,hdc,Cpr49Ac
Top_15,ds,alphaTub84B,Sox15,ap,heph,fend,Ten-a,ab,tna,Ae2,Sox102F,Blimp-1,tyn,CG5973,fz2,Pgant9,Blimp-1,RhoGEF64C,caup,mab-21,drl,bi,Fas3,Tlk,MESR3,Toll-7,klu,SP1029,Hsc70-4,Ppn,ab,Dr,dpy,spri,bru2,CG42238,disco,Fbp2
Top_16,bbg,RpLP1,mbl,osa,hh,aos,fz3,Reck,Rbfox1,Nost,sca,Sox15,aop,tup,apt,rst,nkd,pum,Msp300,Pvf2,mab-21,msi,Socs36E,lbk,drl,rdx,Samuel,mamo,RpL28,Inx2,shot,ec,fru,jing,CG6959,EcR,fru,GlcAT-P
Top_17,msi,RpL22,heph,Hsp70Ab,tup,SP1173,Sox102F,nahoda,EcR,fru,hbs,sns,mtgo,LamC,Fili,sgg,Syp,Zasp52,bnb,kmr,cv-c,elB,SP1173,plum,cv-c,ec,Hsp27,ap,RpL3,tnc,CG42268,bi,Dad,Act5C,apt,jing,Myc,Lsp1beta
Top_18,pigs,nw,jigr1,pyr,bnl,msi,dpy,CG9932,CG41520,heph,vn,DIP-alpha,CG43736,B-H1,cher,klu,Inx2,smal,CG17211,ara,heph,mbl,mab-21,Ptp10D,Ten-a,SP1173,kek1,pio,fax,rin,tup,fru,osa,Pvf2,Fas2,Sobp,Rbfox1,vkg
Top_19,Dh31-R,betaTub56D,RpS26,kek1,sbb,hh,ab,CNBP,CG33229,Fur1,kek1,ds,RhoGEF64C,ft,Atf3,CG43658,CG5758,Dh31-R,chinmo,CG7720,Msp300,Tlk,Toll-7,osa,side-V,CG5151,SP1029,Hsp27,Bacc,chinmo,CG14439,heph,ec,msn,Cam,DAAM,E(spl)m3-HLH,CG13731
Top_20,pyr,ogre,RpL36A,CG46385,fru,Socs36E,Ser,osp,CG5151,Eip75B,magu,SKIP,CG43658,odd,drl,CG14439,Sox15,salm,CG4766,CG43736,so,inv,Cirl,brat,Blimp-1,DIP-alpha,MESR3,fz2,bic,Hsc70-4,kuz,rgn,Myc,ena,how,fru,E(spl)mbeta-HLH,apolpp
